idLeitura,tipoMaquina,descricao,valor,metrica,dataleitura,minimo,maximo
133,IOT,"Core 1",13.00,%,2020-10-20,19,26
136,IOT,"Core 2",17.20,%,2020-10-20,19,26
139,IOT,"Core 3",21.90,%,2020-10-20,19,26
142,IOT,"Core 4",7.80,%,2020-10-20,19,26
145,IOT,"Core 5",14.10,%,2020-10-20,19,26
148,IOT,"Core 6",7.80,%,2020-10-20,19,26
156,IOT,"Core 1",6.80,%,2020-10-20,19,26
159,IOT,"Core 2",15.60,%,2020-10-20,19,26
162,IOT,"Core 3",7.80,%,2020-10-20,19,26
165,IOT,"Core 4",9.40,%,2020-10-20,19,26
168,IOT,"Core 5",4.70,%,2020-10-20,19,26
171,IOT,"Core 6",0.00,%,2020-10-20,19,26
179,IOT,"Core 1",8.10,%,2020-10-20,19,26
182,IOT,"Core 2",14.10,%,2020-10-20,19,26
185,IOT,"Core 3",10.90,%,2020-10-20,19,26
188,IOT,"Core 4",4.70,%,2020-10-20,19,26
191,IOT,"Core 5",3.10,%,2020-10-20,19,26
194,IOT,"Core 6",6.30,%,2020-10-20,19,26
202,IOT,"Core 1",9.90,%,2020-10-20,19,26
205,IOT,"Core 2",15.60,%,2020-10-20,19,26
208,IOT,"Core 3",17.20,%,2020-10-20,19,26
211,IOT,"Core 4",9.40,%,2020-10-20,19,26
214,IOT,"Core 5",1.60,%,2020-10-20,19,26
217,IOT,"Core 6",6.30,%,2020-10-20,19,26
225,IOT,"Core 1",42.40,%,2020-10-20,19,26
228,IOT,"Core 2",39.10,%,2020-10-20,19,26
231,IOT,"Core 3",42.20,%,2020-10-20,19,26
234,IOT,"Core 4",45.30,%,2020-10-20,19,26
237,IOT,"Core 5",37.50,%,2020-10-20,19,26
240,IOT,"Core 6",46.90,%,2020-10-20,19,26
248,IOT,"Core 1",25.30,%,2020-10-20,19,26
251,IOT,"Core 2",26.60,%,2020-10-20,19,26
254,IOT,"Core 3",32.80,%,2020-10-20,19,26
257,IOT,"Core 4",14.10,%,2020-10-20,19,26
260,IOT,"Core 5",12.50,%,2020-10-20,19,26
263,IOT,"Core 6",43.80,%,2020-10-20,19,26
271,IOT,"Core 1",7.60,%,2020-10-20,19,26
274,IOT,"Core 2",26.60,%,2020-10-20,19,26
277,IOT,"Core 3",6.30,%,2020-10-20,19,26
280,IOT,"Core 4",3.10,%,2020-10-20,19,26
283,IOT,"Core 5",1.60,%,2020-10-20,19,26
286,IOT,"Core 6",4.70,%,2020-10-20,19,26
294,IOT,"Core 1",14.60,%,2020-10-20,19,26
297,IOT,"Core 2",18.80,%,2020-10-20,19,26
