idLeitura,tipoMaquina,descricao,valor,metrica,tempoLeitura
1,IOT,"Memoria uso %",79.10,%,"2020-10-16 13:13:43"
2,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:13:43"
3,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:13:43"
4,IOT,"Disco uso %",84.10,%,"2020-10-16 13:13:43"
5,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:13:43"
6,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:13:43"
7,IOT,"Core 1",71.00,°C,"2020-10-16 13:13:43"
8,IOT,"Core 1",31.60,%,"2020-10-16 13:13:43"
9,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:13:43"
10,IOT,"Core 2",72.00,°C,"2020-10-16 13:13:43"
11,IOT,"Core 2",33.60,%,"2020-10-16 13:13:43"
12,IOT,"Memoria uso %",79.60,%,"2020-10-16 13:13:49"
13,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:13:49"
14,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:13:49"
15,IOT,"Disco uso %",84.10,%,"2020-10-16 13:13:49"
16,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:13:49"
17,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:13:49"
18,IOT,"Core 1",72.00,°C,"2020-10-16 13:13:49"
19,IOT,"Core 1",61.90,%,"2020-10-16 13:13:49"
20,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:13:49"
21,IOT,"Core 2",74.00,°C,"2020-10-16 13:13:49"
22,IOT,"Core 2",61.90,%,"2020-10-16 13:13:49"
23,IOT,"Memoria uso %",79.70,%,"2020-10-16 13:13:54"
24,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:13:54"
25,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:13:54"
26,IOT,"Disco uso %",84.10,%,"2020-10-16 13:13:54"
27,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:13:54"
28,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:13:54"
29,IOT,"Core 1",73.00,°C,"2020-10-16 13:13:54"
30,IOT,"Core 1",96.50,%,"2020-10-16 13:13:54"
31,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:13:54"
32,IOT,"Core 2",74.00,°C,"2020-10-16 13:13:54"
33,IOT,"Core 2",96.90,%,"2020-10-16 13:13:54"
34,IOT,"Memoria uso %",79.80,%,"2020-10-16 13:13:59"
35,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:13:59"
36,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:13:59"
37,IOT,"Disco uso %",84.10,%,"2020-10-16 13:13:59"
38,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:13:59"
39,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:13:59"
40,IOT,"Core 1",68.00,°C,"2020-10-16 13:13:59"
41,IOT,"Core 1",29.30,%,"2020-10-16 13:13:59"
42,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:13:59"
43,IOT,"Core 2",66.00,°C,"2020-10-16 13:13:59"
44,IOT,"Core 2",32.00,%,"2020-10-16 13:13:59"
45,IOT,"Memoria uso %",79.60,%,"2020-10-16 13:14:04"
46,IOT,"Memoria uso GB",6.30,GB,"2020-10-16 13:14:04"
47,IOT,"Memoria livre GB",1.60,GB,"2020-10-16 13:14:04"
48,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:04"
49,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:04"
50,IOT,"Core 1",1197.30,MHz,"2020-10-16 13:14:04"
51,IOT,"Core 1",66.00,°C,"2020-10-16 13:14:04"
52,IOT,"Core 1",34.00,%,"2020-10-16 13:14:04"
53,IOT,"Core 2",1197.30,MHz,"2020-10-16 13:14:04"
54,IOT,"Core 2",66.00,°C,"2020-10-16 13:14:04"
55,IOT,"Core 2",35.90,%,"2020-10-16 13:14:04"
56,IOT,"Memoria uso %",81.80,%,"2020-10-16 13:14:09"
57,IOT,"Memoria uso GB",6.50,GB,"2020-10-16 13:14:09"
58,IOT,"Memoria livre GB",1.40,GB,"2020-10-16 13:14:09"
59,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:09"
60,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:09"
61,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:09"
62,IOT,"Core 1",72.00,°C,"2020-10-16 13:14:09"
63,IOT,"Core 1",93.20,%,"2020-10-16 13:14:09"
64,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:09"
65,IOT,"Core 2",74.00,°C,"2020-10-16 13:14:09"
66,IOT,"Core 2",92.40,%,"2020-10-16 13:14:09"
67,IOT,"Memoria uso %",81.00,%,"2020-10-16 13:14:15"
68,IOT,"Memoria uso GB",6.40,GB,"2020-10-16 13:14:15"
69,IOT,"Memoria livre GB",1.50,GB,"2020-10-16 13:14:15"
70,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:15"
71,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:15"
72,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:15"
73,IOT,"Core 1",74.00,°C,"2020-10-16 13:14:15"
74,IOT,"Core 1",82.40,%,"2020-10-16 13:14:15"
75,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:15"
76,IOT,"Core 2",75.00,°C,"2020-10-16 13:14:15"
77,IOT,"Core 2",80.50,%,"2020-10-16 13:14:15"
78,IOT,"Memoria uso %",75.80,%,"2020-10-16 13:14:20"
79,IOT,"Memoria uso GB",6.00,GB,"2020-10-16 13:14:20"
80,IOT,"Memoria livre GB",1.90,GB,"2020-10-16 13:14:20"
81,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:20"
82,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:20"
83,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:20"
84,IOT,"Core 1",73.00,°C,"2020-10-16 13:14:20"
85,IOT,"Core 1",97.60,%,"2020-10-16 13:14:20"
86,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:20"
87,IOT,"Core 2",75.00,°C,"2020-10-16 13:14:20"
88,IOT,"Core 2",96.80,%,"2020-10-16 13:14:20"
89,IOT,"Memoria uso %",77.30,%,"2020-10-16 13:14:26"
90,IOT,"Memoria uso GB",6.10,GB,"2020-10-16 13:14:26"
91,IOT,"Memoria livre GB",1.80,GB,"2020-10-16 13:14:26"
92,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:26"
93,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:26"
94,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:26"
95,IOT,"Core 1",74.00,°C,"2020-10-16 13:14:26"
96,IOT,"Core 1",100.00,%,"2020-10-16 13:14:26"
97,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:26"
98,IOT,"Core 2",76.00,°C,"2020-10-16 13:14:26"
99,IOT,"Core 2",100.00,%,"2020-10-16 13:14:26"
100,IOT,"Memoria uso %",77.90,%,"2020-10-16 13:14:31"
101,IOT,"Memoria uso GB",6.20,GB,"2020-10-16 13:14:31"
102,IOT,"Memoria livre GB",1.70,GB,"2020-10-16 13:14:31"
103,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:31"
104,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:31"
105,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:31"
106,IOT,"Core 1",73.00,°C,"2020-10-16 13:14:31"
107,IOT,"Core 1",97.70,%,"2020-10-16 13:14:31"
108,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:31"
109,IOT,"Core 2",74.00,°C,"2020-10-16 13:14:31"
110,IOT,"Core 2",96.10,%,"2020-10-16 13:14:31"
111,IOT,"Memoria uso %",78.40,%,"2020-10-16 13:14:36"
112,IOT,"Memoria uso GB",6.20,GB,"2020-10-16 13:14:36"
113,IOT,"Memoria livre GB",1.70,GB,"2020-10-16 13:14:36"
114,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:36"
115,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:36"
116,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:36"
117,IOT,"Core 1",75.00,°C,"2020-10-16 13:14:36"
118,IOT,"Core 1",100.00,%,"2020-10-16 13:14:36"
119,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:36"
120,IOT,"Core 2",75.00,°C,"2020-10-16 13:14:36"
121,IOT,"Core 2",100.00,%,"2020-10-16 13:14:36"
122,IOT,"Memoria uso %",79.00,%,"2020-10-16 13:14:41"
123,IOT,"Memoria uso GB",6.20,GB,"2020-10-16 13:14:41"
124,IOT,"Memoria livre GB",1.70,GB,"2020-10-16 13:14:41"
125,IOT,"Disco uso %",84.10,%,"2020-10-16 13:14:41"
126,IOT,"Disco temperatura",30.00,°C,"2020-10-16 13:14:41"
127,IOT,"Core 1",2394.60,MHz,"2020-10-16 13:14:41"
128,IOT,"Core 1",74.00,°C,"2020-10-16 13:14:41"
129,IOT,"Core 1",100.00,%,"2020-10-16 13:14:41"
130,IOT,"Core 2",2394.60,MHz,"2020-10-16 13:14:41"
131,IOT,"Core 2",77.00,°C,"2020-10-16 13:14:41"
132,IOT,"Core 2",100.00,%,"2020-10-16 13:14:41"
133,IOT,"Memoria uso %",78.80,%,"2020-10-16 13:14:46"
134,IOT,"Memoria uso GB",6.20,GB,"2020-10-16 13:14:46"
135,IOT,"Memoria livre GB",1.70,GB,"2020-10-16 13:14:46"
