idLeitura,tipoMaquina,descricao,valor,metrica,dataleitura,minimo,maximo
931,Usuário,"Memoria uso %",52.70,%,2020-10-20,19,26
932,Usuário,"Memoria uso GB",8.40,GB,2020-10-20,19,26
933,Usuário,"Memoria livre GB",7.50,GB,2020-10-20,19,26
934,Usuário,"Disco uso %",57.20,%,2020-10-20,19,26
935,Usuário,"Disco temperatura",33.00,°C,2020-10-20,19,26
936,Usuário,"Core 1",3905.40,MHz,2020-10-20,19,26
937,Usuário,"Core 1",46.00,°C,2020-10-20,19,26
938,Usuário,"Core 1",6.80,%,2020-10-20,19,26
939,Usuário,"Core 2",3905.40,MHz,2020-10-20,19,26
940,Usuário,"Core 2",46.00,°C,2020-10-20,19,26
941,Usuário,"Core 2",9.40,%,2020-10-20,19,26
942,Usuário,"Core 3",3905.40,MHz,2020-10-20,19,26
943,Usuário,"Core 3",45.00,°C,2020-10-20,19,26
944,Usuário,"Core 3",9.40,%,2020-10-20,19,26
945,Usuário,"Core 4",3905.40,MHz,2020-10-20,19,26
946,Usuário,"Core 4",45.00,°C,2020-10-20,19,26
947,Usuário,"Core 4",1.60,%,2020-10-20,19,26
948,Usuário,"Core 5",3905.40,MHz,2020-10-20,19,26
949,Usuário,"Core 5",44.00,°C,2020-10-20,19,26
950,Usuário,"Core 5",4.70,%,2020-10-20,19,26
951,Usuário,"Core 6",3905.40,MHz,2020-10-20,19,26
952,Usuário,"Core 6",45.00,°C,2020-10-20,19,26
953,Usuário,"Core 6",9.40,%,2020-10-20,19,26
1023,Usuário,"Memoria uso %",52.60,%,2020-10-20,19,26
1024,Usuário,"Memoria uso GB",8.40,GB,2020-10-20,19,26
1025,Usuário,"Memoria livre GB",7.60,GB,2020-10-20,19,26
1026,Usuário,"Disco uso %",57.20,%,2020-10-20,19,26
1027,Usuário,"Disco temperatura",33.00,°C,2020-10-20,19,26
1028,Usuário,"Core 1",3905.40,MHz,2020-10-20,19,26
1029,Usuário,"Core 1",47.00,°C,2020-10-20,19,26
1030,Usuário,"Core 1",13.00,%,2020-10-20,19,26
1031,Usuário,"Core 2",3905.40,MHz,2020-10-20,19,26
1032,Usuário,"Core 2",48.00,°C,2020-10-20,19,26
1033,Usuário,"Core 2",23.40,%,2020-10-20,19,26
1034,Usuário,"Core 3",3905.40,MHz,2020-10-20,19,26
1035,Usuário,"Core 3",46.00,°C,2020-10-20,19,26
1036,Usuário,"Core 3",10.90,%,2020-10-20,19,26
1037,Usuário,"Core 4",3905.40,MHz,2020-10-20,19,26
1038,Usuário,"Core 4",43.00,°C,2020-10-20,19,26
1039,Usuário,"Core 4",14.10,%,2020-10-20,19,26
1040,Usuário,"Core 5",3905.40,MHz,2020-10-20,19,26
1041,Usuário,"Core 5",43.00,°C,2020-10-20,19,26
1042,Usuário,"Core 5",12.50,%,2020-10-20,19,26
1043,Usuário,"Core 6",3905.40,MHz,2020-10-20,19,26
1044,Usuário,"Core 6",45.00,°C,2020-10-20,19,26
1045,Usuário,"Core 6",3.10,%,2020-10-20,19,26
1069,Usuário,"Memoria uso %",52.60,%,2020-10-20,19,26
1070,Usuário,"Memoria uso GB",8.40,GB,2020-10-20,19,26
1071,Usuário,"Memoria livre GB",7.60,GB,2020-10-20,19,26
1072,Usuário,"Disco uso %",57.20,%,2020-10-20,19,26
1073,Usuário,"Disco temperatura",33.00,°C,2020-10-20,19,26
1074,Usuário,"Core 1",3905.40,MHz,2020-10-20,19,26
1075,Usuário,"Core 1",49.00,°C,2020-10-20,19,26
1076,Usuário,"Core 1",10.40,%,2020-10-20,19,26
1077,Usuário,"Core 2",3905.40,MHz,2020-10-20,19,26
1078,Usuário,"Core 2",48.00,°C,2020-10-20,19,26
